time_s,p_hull_kg_m_s,p_photon_kg_m_s,p_total_kg_m_s
1.21e-07,-1.9993352034226254e-07,1.999335203422629e-07,3.705769144237564e-22
1.22e-07,-1.9494505429319335e-07,1.9494505429319372e-07,3.705769144237564e-22
1.23e-07,-1.8995658824412416e-07,1.8995658824412453e-07,3.705769144237564e-22
1.24e-07,-1.8496812219505497e-07,1.8496812219505534e-07,3.705769144237564e-22
1.2500000000000002e-07,-1.7997965614598578e-07,1.7997965614598615e-07,3.705769144237564e-22
1.2600000000000002e-07,-1.749911900969166e-07,1.7499119009691696e-07,3.705769144237564e-22
1.27e-07,-1.700027240478474e-07,1.7000272404784777e-07,3.705769144237564e-22
1.28e-07,-1.6501425799877822e-07,1.6501425799877859e-07,3.705769144237564e-22
1.29e-07,-1.6002579194970903e-07,1.6002579194970942e-07,3.970466940254533e-22
1.3e-07,-1.5503732590063984e-07,1.5503732590064023e-07,3.970466940254533e-22
1.31e-07,-1.5004885985157065e-07,1.5004885985157105e-07,3.970466940254533e-22
1.3200000000000002e-07,-1.4506039380250146e-07,1.4506039380250186e-07,3.970466940254533e-22
1.33e-07,-1.4007192775343227e-07,1.4007192775343267e-07,3.970466940254533e-22
1.34e-07,-1.3508346170436308e-07,1.3508346170436348e-07,3.970466940254533e-22
1.35e-07,-1.300949956552939e-07,1.300949956552943e-07,3.970466940254533e-22
1.36e-07,-1.251065296062247e-07,1.251065296062251e-07,3.970466940254533e-22
1.37e-07,-1.2011806355715552e-07,1.2011806355715594e-07,4.235164736271502e-22
1.3800000000000002e-07,-1.1512959750808633e-07,1.1512959750808674e-07,4.1028158382630173e-22
1.3900000000000001e-07,-1.1014113145901714e-07,1.1014113145901756e-07,4.235164736271502e-22
1.4e-07,-1.0515266540994794e-07,1.0515266540994837e-07,4.367513634279986e-22
1.41e-07,-1.0016419936087875e-07,1.0016419936087918e-07,4.367513634279986e-22
1.42e-07,-9.517573331180956e-08,9.517573331181e-08,4.367513634279986e-22
1.43e-07,-9.018726726274037e-08,9.018726726274082e-08,4.499862532288471e-22
1.4400000000000002e-07,-8.519880121367118e-08,8.519880121367163e-08,4.499862532288471e-22
1.4500000000000001e-07,-8.021033516460199e-08,8.021033516460244e-08,4.499862532288471e-22
1.46e-07,-7.52218691155328e-08,7.522186911553325e-08,4.499862532288471e-22
1.47e-07,-7.023340306646362e-08,7.023340306646408e-08,4.632211430296955e-22
1.48e-07,-6.524493701739443e-08,6.524493701739489e-08,4.632211430296955e-22
1.49e-07,-6.025647096832524e-08,6.02564709683257e-08,4.632211430296955e-22
1.5000000000000002e-07,-5.526800491925605e-08,5.526800491925652e-08,4.698385879301197e-22
1.5100000000000002e-07,-5.027953887018686e-08,5.027953887018733e-08,4.698385879301197e-22
1.52e-07,-4.529107282111767e-08,4.529107282111815e-08,4.764560328305439e-22
1.53e-07,-4.030260677204848e-08,4.030260677204896e-08,4.764560328305439e-22
1.54e-07,-3.5314140722979294e-08,3.531414072297978e-08,4.830734777309682e-22
1.55e-07,-3.0325674673910105e-08,3.032567467391059e-08,4.830734777309682e-22
1.5600000000000002e-07,-2.5337208624840916e-08,2.5337208624841406e-08,4.896909226313924e-22
1.5700000000000002e-07,-2.0348742575771727e-08,2.0348742575772217e-08,4.896909226313924e-22
1.58e-07,-1.536027652670254e-08,1.5360276526703035e-08,4.963083675318166e-22
