Time_s,ChassisPosition_m,ChassisVelocity_ms,ChassisMomentum_kgms,PacketPosition_m,PacketEnergy_J,SystemCenterOfMass_m,LorentzGamma,ThermalLoss_J,TotalEnergy_J
1.173300000000076e-06,-1.1516428394586875e-05,246.71842128535758,246718.42128544115,8.68090166837158,73964321951041.92,-4.3723546310818066e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.173400000000076e-06,-1.149175655245834e-05,246.71842128535758,246718.42128544115,8.650922447243422,73964321951041.92,-4.372354610777784e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.173500000000076e-06,-1.1467084710329804e-05,246.71842128535758,246718.42128544115,8.620943226115264,73964321951041.92,-4.372354590473761e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.173600000000076e-06,-1.1442412868201268e-05,246.71842128535758,246718.42128544115,8.590964004987105,73964321951041.92,-4.37235457016974e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1737000000000761e-06,-1.1417741026072733e-05,246.71842128535758,246718.42128544115,8.560984783858947,73964321951041.92,-4.372354549865718e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1738000000000761e-06,-1.1393069183944197e-05,246.71842128535758,246718.42128544115,8.531005562730789,73964321951041.92,-4.372354529561694e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1739000000000761e-06,-1.1368397341815661e-05,246.71842128535758,246718.42128544115,8.50102634160263,73964321951041.92,-4.372354509257672e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1740000000000761e-06,-1.1343725499687126e-05,246.71842128535758,246718.42128544115,8.471047120474472,73964321951041.92,-4.3723544889536514e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1741000000000761e-06,-1.131905365755859e-05,246.71842128535758,246718.42128544115,8.441067899346313,73964321951041.92,-4.372354468649628e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1742000000000761e-06,-1.1294381815430054e-05,246.71842128535758,246718.42128544115,8.411088678218155,73964321951041.92,-4.372354448345606e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
